-9,10,2
1,-2,9
-15,-18,8
2,12,20
5,11,-3
-6,-20,-5
8,-8,13
-17,3,-13
-16,-5,10
13,-12,-10
9,8,2
-18,-6,10
5,-5,15
-6,12,17
6,-18,8
8,-2,7
19,1,14
2,-14,5
-8,0,17
-8,19,-11
-1,-15,-15
18,-10,-12
-16,6,2
-13,-2,-15
7,-1,-11
-2,15,5
24,2,7
17,9,-13
-11,-14,17
-2,-16,-4
-1,-1,-21
4,-5,-16
21,5,3
-18,7,-5
17,-13,-5
-3,-1,15
-23,-5,6
20,-13,-8
2,-5,-8
13,-17,0
-20,7,1
-14,-5,-1
-9,3,-13
2,-17,-10
2,8,11
4,-9,-12
-1,18,5
-6,-17,16
-9,23,-4
-9,-8,15
-5,25,2
0,1,21
-7,-3,-11
-7,-11,3
6,13,-13
11,-16,9
13,-6,-14
12,-4,14
-6,-21,-7
14,9,-16
-9,-13,0
-11,14,11
11,3,-16
1,-24,6
2,-15,-6
18,-13,9
1,5,23
-2,-6,-16
2,1,-20
10,-11,9
-22,-4,-11
-12,3,-11
-12,-5,5
15,-6,-16
-9,-6,-20
-4,1,-13
17,-8,-13
2,-18,15
-21,7,9
21,-12,-3
-18,-5,-9
-3,-20,-3
0,-22,-3
-8,12,18
-12,-8,1
-15,13,1
-9,22,2
-19,-3,-14
-18,-7,1
-18,1,7
12,-5,-17
24,-5,-4
-6,-14,-17
-21,-4,-12
-12,-16,15
-7,-13,-10
-10,20,8
8,-3,-4
13,-2,-8
-8,-8,-18
3,-11,16
8,17,-9
0,-10,-6
-5,15,-2
-15,-7,16
-6,20,-11
9,-7,-10
7,18,15
-13,1,-9
-1,18,10
-11,-13,-15
-8,4,-2
-8,14,18
-15,12,10
-2,-2,-7
-15,-7,-10
9,8,-14
-21,4,10
-16,-15,1
13,-15,3
-4,15,-4
-5,-23,-8
6,10,14
9,-6,5
19,-12,1
3,-18,-17
22,0,3
15,-4,6
-4,-13,-10
2,14,-8
22,4,-2
15,-10,7
-12,14,4
-19,0,-14
7,13,13
19,9,-5
-17,-4,18
-12,1,8
12,-9,-16
4,14,-11
0,1,-18
3,-2,-19
-20,-7,-9
2,16,16
17,1,6
15,7,-3
-11,11,-3
7,-18,-13
7,-10,1
-15,-1,9
13,3,-8
14,14,10
0,-18,10
-24,0,-2
-12,-3,6
13,-5,7
-12,2,-4
-12,-10,-13
-12,-13,2
-3,-17,-16
-10,-1,-14
16,-6,-6
-10,16,17
12,5,1
5,-1,-21
-15,4,12
-4,3,5
10,-2,-20
-19,3,-9
-22,-10,-3
10,-11,-16
-13,-6,-10
-19,-13,6
10,9,1
10,10,21
8,3,17
-11,9,1
8,15,-13
-10,-10,-17
0,12,-5
-1,0,-16
15,-5,-4
7,-12,-10
20,2,4
7,8,-17
-11,6,13
4,19,-7
4,-14,-2
4,-13,-4
-14,18,4
3,0,18
17,-1,-13
18,5,-12
-13,-5,15
16,10,-15
-2,12,19
-8,-13,17
-2,12,-4
-2,20,13
15,2,19
-15,-2,-8
-19,-14,-8
-11,17,-3
3,3,21
-10,-8,-20
15,3,0
-7,-4,-12
20,-5,0
11,-13,-13
-8,-11,14
-7,-9,15
9,-6,15
11,-1,-16
2,-9,16
15,-15,13
6,-17,5
-16,-9,-1
-8,5,9
-4,14,4
2,20,6
12,10,-13
-14,11,-11
5,-7,9
3,6,22
1,10,13
-16,-17,7
20,5,10
11,-16,-6
10,11,3
7,6,-2
-2,5,14
21,0,-13
3,20,-9
18,-2,-14
20,-10,-3
-2,-21,-13
14,-14,-12
-20,-6,-11
-8,-8,-3
19,-1,9
11,8,-4
-6,-16,0
-16,0,11
-21,-10,8
-7,17,11
10,7,-18
0,-7,-20
8,-24,-1
-4,11,-15
-12,5,0
8,-9,-11
11,8,2
9,-9,-4
18,4,10
-14,8,3
5,-21,9
0,-21,1
16,-17,-8
-1,-14,-16
-10,-14,-17
-18,-2,7
-7,-14,-6
-19,-9,-11
-12,-13,16
6,-22,-8
8,15,-3
14,5,14
-10,6,-3
-11,-20,4
11,-18,11
4,17,-4
6,10,3
-19,8,5
-10,-16,14
-15,-6,16
17,-16,-8
22,4,-6
-15,-18,-8
-10,-5,-1
-4,22,-8
9,-11,-9
-20,-8,11
12,-15,-14
6,1,-7
2,17,-12
-11,-3,7
-13,15,0
-2,-22,8
-4,-5,2
-3,-5,-12
3,6,5
-5,-1,-15
23,-7,5
14,-5,17
-4,-12,17
12,-4,-3
0,-19,13
-7,1,8
-9,13,-8
7,-3,18
-7,18,12
-2,3,-10
-8,18,12
-4,-22,1
-5,-13,0
16,2,10
16,8,1
-21,5,0
7,-20,-9
4,-20,-6
-15,9,-8
-15,-4,11
-6,-15,4
0,-7,17
-2,-8,0
21,11,3
21,-7,-8
-12,21,-1
2,-21,7
11,1,-17
9,2,2
-10,17,6
11,-13,10
6,-7,-11
-10,-15,-2
-1,20,-11
-4,-12,-22
-15,10,-1
-7,20,1
-9,-19,-5
-19,4,5
-15,1,1
-15,2,-3
-4,-10,13
-3,16,-1
-1,15,18
14,-17,-3
2,-2,17
-14,15,6
2,-11,-17
-8,-11,-18
2,-19,14
9,-15,-15
-6,-8,-21
-16,14,1
-10,23,2
19,10,-5
-17,-1,-5
-9,7,8
17,-6,-4
7,-14,11
6,13,-6
5,5,18
-16,-8,5
-14,3,5
18,-11,-6
10,12,-13
13,-15,-6
1,-16,1
1,20,-3
3,-6,-17
-9,-11,-10
0,-15,-3
-1,-1,2
12,15,2
1,15,-13
-13,11,8
2,-21,-6
-8,19,9
24,-2,-5
14,-4,17
21,-5,4
17,-4,-1
-16,7,-10
11,-7,-17
-10,13,-12
-13,-3,15
-6,3,-17
2,20,-3
-6,-3,-19
0,-16,7
-5,6,-4
17,-9,8
-5,-10,-6
13,12,7
-14,-11,-4
-7,22,-5
-14,-17,2
-20,-9,-1
-10,-12,7
1,3,6
18,2,17
11,-9,-8
-2,-13,-7
2,15,8
-13,-8,-16
9,-9,13
6,-1,20
-9,-14,4
-5,-19,-10
6,-16,-3
-8,-2,-17
-2,-7,-10
-12,-18,-2
-15,5,-7
-17,-13,5
-4,16,13
-6,-5,-4
7,7,21
-21,-12,4
-10,-18,4
3,14,4
1,-2,-5
4,-5,-22
-6,-1,-20
-14,-7,4
16,13,-4
22,-10,-5
13,-14,10
14,-10,5
-8,-7,14
10,14,11
-16,-11,16
-12,19,0
15,10,-4
5,-3,-20
-11,14,17
-5,20,-5
9,-14,0
-8,15,6
9,6,9
-12,-11,16
9,-10,15
3,18,3
15,-16,-9
-13,-10,15
-10,-9,5
-3,-11,7
-4,-2,-9
8,3,-3
-16,-11,7
-23,-3,3
3,1,-7
5,8,12
12,-19,-4
14,13,-6
0,10,23
-10,-12,-19
12,7,16
2,-17,15
9,-14,10
13,5,7
14,-14,1
5,-17,-14
-24,-8,-2
-17,4,-9
1,6,-9
5,-17,15
-15,5,-13
-9,0,-6
7,8,15
-7,-2,8
2,3,-13
24,6,-2
-6,-8,1
16,7,8
1,-6,-5
-8,-2,-4
-19,-12,-3
15,-10,-12
20,3,-15
14,-10,15
5,0,21
-3,14,15
12,-16,-9
4,-24,-2
-3,5,-3
-3,1,18
10,9,9
-2,-15,3
6,19,6
-4,2,-5
10,10,-11
-2,10,-13
-3,-12,-7
-21,-8,-3
-8,16,16
16,-13,3
-2,-19,-15
-10,-5,19
-16,-3,9
15,1,-15
1,23,-2
-3,23,-2
18,6,-4
9,11,9
-3,8,19
-6,-18,3
14,-8,3
-5,-19,14
19,-8,-7
-13,-1,-2
12,11,15
