1,-9,10,2
2,1,-2,9
3,-15,-18,8
4,2,12,20
5,5,11,-3
6,-6,-20,-5
7,8,-8,13
8,-17,3,-13
9,-16,-5,10
10,13,-12,-10
11,9,8,2
12,-18,-6,10
13,5,-5,15
14,-6,12,17
15,6,-18,8
16,8,-2,7
17,19,1,14
18,2,-14,5
19,-8,0,17
20,-8,19,-11
21,-1,-15,-15
22,18,-10,-12
23,-16,6,2
24,-13,-2,-15
25,7,-1,-11
26,-2,15,5
27,24,2,7
28,17,9,-13
29,-11,-14,17
30,-2,-16,-4
31,-1,-1,-21
32,4,-5,-16
33,21,5,3
34,-18,7,-5
35,17,-13,-5
36,-3,-1,15
37,-23,-5,6
38,20,-13,-8
39,2,-5,-8
40,13,-17,0
41,-20,7,1
42,-14,-5,-1
43,-9,3,-13
44,2,-17,-10
45,2,8,11
46,4,-9,-12
47,-1,18,5
48,-6,-17,16
49,-9,23,-4
50,-9,-8,15
51,-5,25,2
52,0,1,21
53,-7,-3,-11
54,-7,-11,3
55,6,13,-13
56,11,-16,9
57,13,-6,-14
58,12,-4,14
59,-6,-21,-7
60,14,9,-16
61,-9,-13,0
62,-11,14,11
63,11,3,-16
64,1,-24,6
65,2,-15,-6
66,18,-13,9
67,1,5,23
68,-2,-6,-16
69,2,1,-20
70,10,-11,9
71,-22,-4,-11
72,-12,3,-11
73,-12,-5,5
74,15,-6,-16
75,-9,-6,-20
76,-4,1,-13
77,17,-8,-13
78,2,-18,15
79,-21,7,9
80,21,-12,-3
81,-18,-5,-9
82,-3,-20,-3
83,0,-22,-3
84,-8,12,18
85,-12,-8,1
86,-15,13,1
87,-9,22,2
88,-19,-3,-14
89,-18,-7,1
90,-18,1,7
91,12,-5,-17
92,24,-5,-4
93,-6,-14,-17
94,-21,-4,-12
95,-12,-16,15
96,-7,-13,-10
97,-10,20,8
98,8,-3,-4
99,13,-2,-8
100,-8,-8,-18
101,3,-11,16
102,8,17,-9
103,0,-10,-6
104,-5,15,-2
105,-15,-7,16
106,-6,20,-11
107,9,-7,-10
108,7,18,15
109,-13,1,-9
110,-1,18,10
111,-11,-13,-15
112,-8,4,-2
113,-8,14,18
114,-15,12,10
115,-2,-2,-7
116,-15,-7,-10
117,9,8,-14
118,-21,4,10
119,-16,-15,1
120,13,-15,3
121,-4,15,-4
122,-5,-23,-8
123,6,10,14
124,9,-6,5
125,19,-12,1
126,3,-18,-17
127,22,0,3
128,15,-4,6
129,-4,-13,-10
130,2,14,-8
131,22,4,-2
132,15,-10,7
133,-12,14,4
134,-19,0,-14
135,7,13,13
136,19,9,-5
137,-17,-4,18
138,-12,1,8
139,12,-9,-16
140,4,14,-11
141,0,1,-18
142,3,-2,-19
143,-20,-7,-9
144,2,16,16
145,17,1,6
146,15,7,-3
147,-11,11,-3
148,7,-18,-13
149,7,-10,1
150,-15,-1,9
151,13,3,-8
152,14,14,10
153,0,-18,10
154,-24,0,-2
155,-12,-3,6
156,13,-5,7
157,-12,2,-4
158,-12,-10,-13
159,-12,-13,2
160,-3,-17,-16
161,-10,-1,-14
162,16,-6,-6
163,-10,16,17
164,12,5,1
165,5,-1,-21
166,-15,4,12
167,-4,3,5
168,10,-2,-20
169,-19,3,-9
170,-22,-10,-3
171,10,-11,-16
172,-13,-6,-10
173,-19,-13,6
174,10,9,1
175,10,10,21
176,8,3,17
177,-11,9,1
178,8,15,-13
179,-10,-10,-17
180,0,12,-5
181,-1,0,-16
182,15,-5,-4
183,7,-12,-10
184,20,2,4
185,7,8,-17
186,-11,6,13
187,4,19,-7
188,4,-14,-2
189,4,-13,-4
190,-14,18,4
191,3,0,18
192,17,-1,-13
193,18,5,-12
194,-13,-5,15
195,16,10,-15
196,-2,12,19
197,-8,-13,17
198,-2,12,-4
199,-2,20,13
200,15,2,19
201,-15,-2,-8
202,-19,-14,-8
