     1,  3,    14,    -4,    48
     2,  3,    12,   -12,    44
     3,  3,    20,     0,    42
     4,  3,    14,   -28,    36
     5,  3,    22,   -24,    34
     6,  3,    22,    -6,    36
     7,  3,    18,    -4,    40
     8,  3,     0,     2,    50
     9,  3,    18,   -24,    34
    10,  3,    30,   -16,    34
    11,  3,    18,   -20,    34
    12,  3,    34,    -6,    36
    13,  3,    -6,   -18,    40
    14,  3,     2,   -32,    34
    15,  3,    30,   -20,    28
    16,  3,    28,   -20,    32
    17,  3,    26,   -16,    32
    18,  3,    34,    -8,    34
    19,  3,     0,   -34,    32
    20,  3,    -2,   -32,    34
    21,  3,    -6,   -24,    34
    22,  3,    22,   -14,    34
    23,  3,    16,     0,    40
    24,  3,     8,     0,    40
    25,  3,    14,     6,    40
    26,  3,    14,   -34,    28
    27,  3,    12,   -16,    34
    28,  3,   -16,   -24,    38
    29,  3,    32,    -2,    34
    30,  3,    30,     0,    34
    31,  3,     0,    14,    48
    32,  3,    10,   -12,    34
    33,  3,    28,    -2,    32
    34,  3,    -8,   -14,    36
    35,  3,    22,    -2,    32
    36,  3,   -16,   -18,    38
    37,  3,    14,    -4,    36
    38,  3,     4,    12,    46
    39,  3,    -8,   -36,    30
    40,  3,   -12,   -28,    32
    41,  3,    -6,   -18,    34
    42,  3,   -12,   -16,    38
    43,  3,    26,    14,    34
    44,  3,     0,     6,    42
    45,  3,    22,    22,    38
    46,  3,     2,    16,    42
    47,  3,    20,    24,    40
    48,  3,    24,   -32,    24
    49,  3,    20,   -32,    26
    50,  3,    34,   -26,    22
    51,  3,    40,   -18,    24
    52,  3,    14,   -26,    26
    53,  3,    24,   -12,    26
    54,  3,    20,   -12,    26
    55,  3,    -2,   -18,    30
    56,  3,   -20,   -22,    34
    57,  3,   -26,   -20,    36
    58,  3,    10,    -6,    34
    59,  3,     6,     6,    40
    60,  3,    18,   -32,    22
    61,  3,    24,   -22,    24
    62,  3,   -12,   -34,    28
    63,  3,   -14,   -32,    30
    64,  3,   -16,   -28,    30
    65,  3,   -12,   -24,    32
    66,  3,   -22,   -18,    36
    67,  3,   -10,    -8,    38
    68,  3,    38,    16,    30
    69,  3,    10,   -46,    20
    70,  3,    24,   -28,    22
    71,  3,    12,   -22,    22
    72,  3,   -12,   -32,    28
    73,  3,    -6,   -28,    26
    74,  3,    42,    -4,    24
    75,  3,    24,    -8,    24
    76,  3,   -28,   -24,    34
    77,  3,   -20,   -14,    34
    78,  3,   -18,    -2,    38
    79,  3,    14,    14,    34
    80,  3,    16,    22,    32
    81,  3,    20,   -40,    20
    82,  3,    32,   -22,    20
    83,  3,     6,   -34,    22
    84,  3,    42,   -16,    18
    85,  3,   -14,   -36,    26
    86,  3,    44,   -12,    20
    87,  3,    -2,   -30,    24
    88,  3,   -18,   -34,    26
    89,  3,   -26,   -14,    34
    90,  3,   -18,    -8,    34
    91,  3,    20,    16,    32
    92,  3,    24,    28,    32
    93,  3,    22,   -36,    18
    94,  3,    32,   -18,    20
    95,  3,    20,   -14,    20
    96,  3,    30,    12,    26
    97,  3,    22,   -30,    18
    98,  3,     4,   -28,    22
    99,  3,    -2,   -30,    24
   100,  3,    -8,   -22,    24
   101,  3,   -12,   -12,    28
   102,  3,     8,    -4,    26
   103,  3,    28,    12,    26
   104,  3,    22,    12,    26
   105,  3,   -14,     0,    36
   106,  3,    14,   -46,    16
