species,gene
M_PTN_MMSYN1_0407_c,MMSYN1_0407
M_PTN_MMSYN1_0645_c,MMSYN1_0645
M_PTN_MMSYN1_0803_c,MMSYN1_0803
M_PTN_MMSYN1_0804_c,MMSYN1_0804
